player,elo,hElo,cElo,gElo
Juan Alejandro Hernandez Serrano,1297.6,1269.0,1257.6,1348.8
Keegan Smith,1295.4,1267.4,1190.8,1347.7
Robert Strombachs,1293.3,1297.8,1255.3,1346.7
Gonzalo Villanueva,1293.3,1210.0,1279.6,1346.7
David Jorda Sanchis,1293.0,1208.2,1323.4,1307.6
Carl Emil Overbeck,1292.9,1271.2,1256.5,1346.5
Blaise Bicknell,1291.6,1277.2,1247.1,1395.8
Naoki Nakagawa,1289.2,1270.8,1148.8,1344.6
Luciano Emanuel Ambrogi,1289.1,1195.7,1282.3,1344.6
Jacopo Vasami,1288.3,1217.8,1298.5,1344.2
Kasidit Samrej,1285.4,1259.8,1356.9,1392.7
Olukayode Alafia Damina Ayeni,1285.2,1277.2,1186.4,1298.9
Paulo Andre Saraiva Dos Santos,1284.5,1231.4,1282.0,1342.2
Taha Baadi,1282.1,1249.6,1279.8,1305.3
Adria Soriano Barrera,1279.6,1280.9,1225.5,1339.8
Andrew Fenty,1277.2,1259.1,1236.8,1338.6
Alexandr Binda,1277.0,1252.5,1248.5,1338.5
Alan Magadan,1274.1,1275.1,1237.7,1337.1
Yusuke Takahashi,1272.8,1248.0,1265.0,1336.4
Thomas Faurel,1271.8,1259.8,1227.1,1335.9
Luca Castelnuovo,1269.8,1251.9,1218.7,1334.9
Aristotelis Thanos,1267.4,1254.6,1328.2,1383.7
Christian Langmo,1266.5,1254.0,1140.8,1333.2
San Hui Sin,1265.1,1242.2,1242.6,1332.6
Mateus Alves,1256.3,1152.1,1260.1,1328.2
Max Wiskandt,1251.1,1220.3,1241.9,1298.3
Luis Guto Miguel,1245.4,1228.8,1241.3,1322.7
Joaquin  Aguilar Cardozo,1243.1,1283.3,1255.0,1371.5
Justin Boulais,1239.3,1213.9,1229.6,1319.6
Renta Tokuda,1238.8,1211.3,1180.6,1319.4
Saba Purtseladze,1238.5,1260.9,1126.2,1297.3
Juan Sebastian Gomez,1237.6,1209.7,1228.2,1318.8
Aryan Shah,1235.2,1227.9,1226.1,1317.6
Karan Singh,1232.7,1197.3,1263.3,1316.4
Vadym Ursu,1222.7,1195.6,1167.6,1290.3
Moerani Bouzige,1210.6,1179.6,1215.3,1305.3
Kokoro Isomura,1209.7,1180.5,1214.9,1304.9
Pierluigi Basile,1205.3,1155.2,1240.4,1302.7
Mariano Kestelboim,1198.4,1170.6,1189.0,1299.2
Bruno Kuzuhara,1190.9,1182.7,1156.6,1295.4
Lorenzo Joaquin Rodriguez,1186.4,1169.4,1176.0,1293.2
Carlos Maria Zarate,1186.0,1205.3,1171.6,1293.0
Karl Poling,1184.4,1198.5,1151.7,1250.5
Juan Estevez,1170.5,1195.2,1162.6,1285.2
Lorenzo Carboni,1164.4,1125.3,1183.1,1282.2
Sebastian Gima,1162.0,1157.9,1153.7,1281.0
Tiago Pereira,1150.1,1128.0,1172.6,1275.1
Joao Eduardo Schiessl,1135.6,1141.0,1138.9,1267.8
Jake Delaney,1103.0,1088.3,1131.7,1251.5
Tristan Mccormick,1085.7,1098.7,1084.3,1212.3
